Location,Year,Rural TFR,Urban TFR
Haryana,1995,3.9000000953674316,2.9000000953674316
Haryana,1996,3.799999952316284,2.700000047683716
Haryana,1997,3.5999999046325684,2.700000047683716
Haryana,1998,3.5,2.700000047683716
Haryana,1999,3.299999952316284,2.5999999046325684
Haryana,2000,3.4000000953674316,2.5999999046325684
Haryana,2001,3.299999952316284,2.5
Haryana,2002,3.200000047683716,2.5
Haryana,2003,3.0999999046325684,2.4000000953674316
Haryana,2004,3.299999952316284,2.4000000953674316
Haryana,2005,3,2.299999952316284
Haryana,2006,2.9000000953674316,2.4000000953674316
Haryana,2007,2.799999952316284,2.299999952316284
Haryana,2008,2.700000047683716,2.200000047683716
Haryana,2009,2.5999999046325684,2.200000047683716
Haryana,2010,2.5,2
Haryana,2011,2.4000000953674316,2
Haryana,2012,2.4000000953674316,2
Haryana,2013,2.299999952316284,2
Haryana,2014,2.4000000953674316,2
Haryana,2015,2.4000000953674316,2
Haryana,2016,2.4000000953674316,2
Haryana,2017,2.4000000953674316,1.899999976158142
Haryana,2018,2.4000000953674316,1.899999976158142
Haryana,2019,2.299999952316284,1.899999976158142
Haryana,2020,2.200000047683716,1.7000000476837158
Haryana,2021,2.0999999046325684,1.7999999523162842
Haryana,2022,2.0999999046325684,1.7999999523162842
Haryana,2023,2.0999999046325684,1.7000000476837158
Himachal Pradesh,2014,1.7000000476837158,1.2000000476837158
Himachal Pradesh,2015,1.7000000476837158,1.2000000476837158
Himachal Pradesh,2016,1.7000000476837158,1.2000000476837158
Himachal Pradesh,2017,1.7000000476837158,1.100000023841858
Himachal Pradesh,2018,1.7000000476837158,1.100000023841858
Himachal Pradesh,2019,1.600000023841858,1.100000023841858
Himachal Pradesh,2020,1.5,1.100000023841858
Himachal Pradesh,2021,1.600000023841858,1.100000023841858
Himachal Pradesh,2022,1.600000023841858,1.100000023841858
Himachal Pradesh,2023,1.600000023841858,1.100000023841858
India,1971,5.400000095367432,4.099999904632568
India,1972,5.400000095367432,4.300000190734863
India,1973,5.199999809265137,3.700000047683716
India,1974,5.199999809265137,3.700000047683716
India,1975,5.199999809265137,3.700000047683716
India,1976,5,3.5999999046325684
India,1977,4.800000190734863,3.4000000953674316
India,1978,4.800000190734863,3.4000000953674316
India,1979,4.699999809265137,3.4000000953674316
India,1980,4.699999809265137,3.4000000953674316
India,1981,4.800000190734863,3.299999952316284
India,1982,4.900000095367432,3.4000000953674316
India,1983,4.900000095367432,3.4000000953674316
India,1984,4.800000190734863,3.5
India,1985,4.599999904632568,3.299999952316284
India,1986,4.5,3.0999999046325684
India,1987,4.400000095367432,3.200000047683716
India,1988,4.300000190734863,3.0999999046325684
India,1989,4.199999809265137,2.799999952316284
India,1990,4.099999904632568,2.799999952316284
India,1991,3.9000000953674316,2.700000047683716
India,1992,3.9000000953674316,2.5999999046325684
India,1993,3.799999952316284,2.799999952316284
India,1994,3.799999952316284,2.700000047683716
India,1995,3.9000000953674316,2.5999999046325684
India,1996,3.700000047683716,2.4000000953674316
India,1997,3.5999999046325684,2.4000000953674316
India,1998,3.5,2.4000000953674316
India,1999,3.5,2.299999952316284
India,2000,3.5,2.299999952316284
India,2001,3.4000000953674316,2.299999952316284
India,2002,3.299999952316284,2.200000047683716
India,2003,3.200000047683716,2.200000047683716
India,2004,3.299999952316284,2.0999999046325684
India,2005,3.200000047683716,2.0999999046325684
India,2006,3.0999999046325684,2
India,2007,3,2
India,2008,2.9000000953674316,2
India,2009,2.9000000953674316,2
India,2010,2.799999952316284,1.899999976158142
India,2011,2.700000047683716,1.899999976158142
India,2012,2.5999999046325684,1.7999999523162842
India,2013,2.5,1.7999999523162842
India,2014,2.5,1.7999999523162842
India,2015,2.5,1.7999999523162842
India,2016,2.5,1.7999999523162842
India,2017,2.4000000953674316,1.7000000476837158
India,2018,2.4000000953674316,1.7000000476837158
India,2019,2.299999952316284,1.7000000476837158
India,2020,2.200000047683716,1.600000023841858
India,2021,2.200000047683716,1.600000023841858
India,2022,2.200000047683716,1.600000023841858
India,2023,2.0999999046325684,1.5
Jammu & Kashmir,2004,2.700000047683716,1.5
Jammu & Kashmir,2005,2.5999999046325684,1.600000023841858
Jammu & Kashmir,2006,2.5,1.600000023841858
Jammu & Kashmir,2007,2.5,1.5
Jammu & Kashmir,2008,2.4000000953674316,1.5
Jammu & Kashmir,2009,2.4000000953674316,1.399999976158142
Jammu & Kashmir,2010,2.200000047683716,1.399999976158142
Jammu & Kashmir,2011,2.0999999046325684,1.2999999523162842
Jammu & Kashmir,2012,2,1.2999999523162842
Jammu & Kashmir,2013,2,1.2999999523162842
Jammu & Kashmir,2014,1.899999976158142,1.2000000476837158
Jammu & Kashmir,2015,1.899999976158142,1
Jammu & Kashmir,2016,1.899999976158142,1.2000000476837158
Jammu & Kashmir,2017,1.7999999523162842,1.2000000476837158
Jammu & Kashmir,2018,1.7999999523162842,1.2000000476837158
Jammu & Kashmir,2019,1.7000000476837158,1.100000023841858
Jammu & Kashmir,2020,1.600000023841858,1.100000023841858
Jammu & Kashmir,2021,1.7000000476837158,1.100000023841858
Jammu & Kashmir,2022,1.7000000476837158,1.2999999523162842
Jammu & Kashmir,2023,1.600000023841858,1.2000000476837158
Jharkhand,2004,3.9000000953674316,2.299999952316284
Jharkhand,2005,3.9000000953674316,2.299999952316284
Jharkhand,2006,3.700000047683716,2.200000047683716
Jharkhand,2007,3.5,2.200000047683716
Jharkhand,2008,3.5,2.0999999046325684
Jharkhand,2009,3.4000000953674316,2.200000047683716
Jharkhand,2010,3.200000047683716,2.0999999046325684
Jharkhand,2011,3.200000047683716,2.0999999046325684
Jharkhand,2012,3,2
Jharkhand,2013,2.9000000953674316,2
Jharkhand,2014,3,2.0999999046325684
Jharkhand,2015,2.9000000953674316,2.0999999046325684
Jharkhand,2016,2.9000000953674316,2
Jharkhand,2017,2.700000047683716,1.899999976158142
Jharkhand,2018,2.700000047683716,1.899999976158142
Jharkhand,2019,2.5999999046325684,1.7999999523162842
Jharkhand,2020,2.5999999046325684,1.7999999523162842
Jharkhand,2021,2.5,1.7999999523162842
Jharkhand,2022,2.4000000953674316,1.7999999523162842
Jharkhand,2023,2.299999952316284,1.7000000476837158
Karnataka,1971,4.800000190734863,3.4000000953674316
Karnataka,1972,4.5,3.5
Karnataka,1973,4.199999809265137,3.299999952316284
Karnataka,1974,4,3
Karnataka,1975,4.099999904632568,2.799999952316284
Karnataka,1976,4,3.200000047683716
Karnataka,1977,3.799999952316284,3
Karnataka,1978,4.099999904632568,2.4000000953674316
Karnataka,1979,3.9000000953674316,3
Karnataka,1980,3.799999952316284,2.799999952316284
Karnataka,1981,3.799999952316284,3
Karnataka,1982,3.799999952316284,3
Karnataka,1983,4,3
Karnataka,1984,4,3.299999952316284
Karnataka,1985,3.9000000953674316,2.9000000953674316
Karnataka,1986,3.700000047683716,2.9000000953674316
Karnataka,1987,3.700000047683716,2.9000000953674316
Karnataka,1988,3.700000047683716,2.700000047683716
Karnataka,1989,3.5,2.700000047683716
Karnataka,1990,3.5,2.5999999046325684
Karnataka,1991,3.299999952316284,2.5
Karnataka,1992,3.0999999046325684,2.4000000953674316
Karnataka,1993,3.0999999046325684,2.5
Karnataka,1994,3.0999999046325684,2.4000000953674316
Karnataka,1995,2.9000000953674316,2.299999952316284
