ID,TP1_JAN,TP1_JULY,MP1_,FP1_,PD1_,PSR_,MA1_,NCB_,RNC_,PC_,PGR_,PAD_
182,728703,737373,381444,355929,248.0,107.2,19.1,17219,23.4,17339,2.35,29.5
183,746042,754875,390485,364391,253.9,107.2,19.2,17699,23.4,17667,2.34,29.6
184,763709,772648,399637,373010,259.9,107.1,19.3,17968,23.3,17878,2.31,30.0
185,781587,790690,408902,381788,265.9,107.1,19.3,18456,23.3,18206,2.3,30.1
186,799793,808931,418256,390675,272.1,107.1,19.4,18496,22.9,18276,2.26,30.7
187,818069,827343,427701,399642,278.3,107.0,19.5,18703,22.6,18547,2.24,30.9
188,836617,846040,437296,408743,284.6,107.0,19.6,18849,22.3,18846,2.23,31.1
189,855463,864972,447022,417951,290.9,107.0,19.7,18894,21.8,19019,2.2,31.5
190,874482,883928,456778,427150,297.3,106.9,19.8,19049,21.6,18891,2.14,32.4
191,893373,902957,466595,436362,303.7,106.9,19.9,19132,21.2,19168,2.12,32.6
192,912541,922118,476503,445615,310.1,106.9,20.0,19153,20.8,19155,2.08,33.4
193,931696,941164,486384,454780,316.6,106.9,20.2,19311,20.5,18936,2.01,34.5
194,950632,960301,496345,463956,323.0,107.0,20.3,19396,20.2,19339,2.01,34.4
195,969970,979678,506445,473233,329.5,107.0,20.5,19442,19.8,19416,1.98,35.0
196,989386,999134,516593,482540,336.0,107.1,20.7,19494,19.5,19495,1.95,35.5
197,1008881,1018665,526785,491880,342.6,107.1,20.8,19569,19.2,19568,1.92,36.1
198,1028449,1038226,536988,501238,349.2,107.1,21.0,19649,18.9,19553,1.88,36.8
199,1048003,1057923,547253,510669,355.8,107.2,21.2,19984,18.9,19840,1.88,37.0
200,1067843,1077899,557645,520253,362.5,107.2,21.4,20182,18.7,20111,1.87,37.1
201,1087954,1097600,567873,529727,369.2,107.2,21.6,20025,18.2,19292,1.76,39.4
202,1107247,1116803,577830,538973,375.6,107.2,21.8,19720,17.7,19113,1.71,40.5
203,1126360,1135992,587765,548226,382.1,107.2,22.0,19471,17.1,19264,1.7,40.9
204,1145624,1154676,597426,557250,388.4,107.2,22.2,19035,16.5,18106,1.57,44.2
205,1163729,1172879,606816,566063,394.5,107.2,22.5,18642,15.9,18300,1.56,44.4
206,1182029,1190676,615978,574698,400.5,107.2,22.8,18332,15.4,17295,1.45,47.7
207,1199323,1207931,624852,583079,406.3,107.2,23.1,18235,15.1,17215,1.43,48.6
208,1216539,1225525,633887,591638,412.2,107.1,23.3,18285,14.9,17972,1.47,47.2
209,1234511,1243482,643098,600383,418.2,107.1,23.6,17992,14.5,17941,1.44,48.0
210,1252452,1261225,652190,609035,424.2,107.1,23.9,17793,14.1,17546,1.39,49.8
211,1269998,1278675,661117,617558,430.1,107.1,24.3,17552,13.7,17354,1.36,51.1
212,1287351,1295830,669877,625953,435.8,107.0,24.6,17108,13.2,16956,1.31,53.0
213,1304308,1312277,678266,634011,441.4,107.0,24.9,16166,12.3,15939,1.22,57.0
214,1320247,1328024,686299,641726,446.7,106.9,25.3,16211,12.2,15556,1.17,59.2
215,1335802,1343944,694417,649527,452.0,106.9,25.6,16203,12.1,16284,1.21,57.2
216,1352086,1359657,702419,657238,457.3,106.9,26.0,15394,11.3,15142,1.11,62.2
217,1367229,1374659,710050,664609,462.4,106.8,26.3,15451,11.2,14861,1.08,64.1
218,1382090,1389030,717351,671679,467.2,106.8,26.7,14861,10.7,13882,1.0,69.4
219,1395971,1402618,724175,678442,471.8,106.7,27.0,13367,9.5,13293,0.95,73.1
220,1409264,1414204,729924,684280,475.7,106.7,27.3,10228,7.2,9879,0.7,99.2
221,1419143,1425423,735531,689892,479.4,106.6,27.7,13913,9.8,12559,0.88,78.7
222,1431703,1438070,741883,696186,483.7,106.6,28.1,13712,9.5,12733,0.89,78.3
