ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
85,19506,10310,9196,29.8,33.4,32.2,34.9,40.1,38.2,42.3,7.8,7.0,8.6,3.4,3.1,3.6,3894,196.1,16656.731,7678,336,534,547,519,732,765,694,344,379,304,543,598,480
86,14699,7815,6884,22.4,40.2,38.6,41.9,42.9,40.9,45.1,8.6,7.6,9.4,3.7,3.4,3.9,2693,154.3,15053.65,5003,258,434,448,419,642,681,600,287,317,253,473,527,414
87,10350,5585,4765,15.6,51.0,48.9,53.2,47.0,45.0,49.3,9.7,8.6,10.7,4.2,3.8,4.4,2325,98.6,24972.585,3249,148,281,295,266,489,533,441,209,232,185,372,422,318
88,10917,5879,5038,15.9,51.7,49.7,53.9,47.5,45.4,49.7,9.9,8.7,10.9,4.2,3.8,4.4,3024,96.2,31205.005,3930,144,272,285,258,477,520,431,202,223,179,361,410,310
89,10843,5827,5016,15.4,52.3,50.3,54.5,47.9,45.8,50.1,10.0,8.8,11.0,4.2,3.8,4.5,2917,93.8,28095.787,3961,139,264,277,250,465,508,420,195,216,173,352,399,302
90,10677,5739,4938,14.8,53.0,51.0,55.2,48.3,46.2,50.5,10.1,8.9,11.2,4.3,3.8,4.5,2744,91.3,28140.957,3903,135,256,269,241,454,496,409,189,210,167,343,390,293
91,10496,5616,4880,14.1,53.7,51.7,55.8,48.7,46.6,50.8,10.3,9.1,11.3,4.3,3.9,4.6,2616,88.7,27391.784,3821,130,248,261,234,443,483,400,183,203,162,334,378,287
92,10188,5436,4752,13.4,54.4,52.4,56.5,49.1,47.1,51.2,10.4,9.2,11.4,4.4,3.9,4.6,2412,86.1,25813.796,3603,126,239,252,226,430,469,389,176,195,156,323,366,278
93,10173,5412,4762,13.0,55.2,53.3,57.2,49.6,47.6,51.7,10.6,9.4,11.6,4.4,4.0,4.7,2533,83.4,29800.026,3637,121,230,242,218,417,453,377,169,187,150,312,352,270
94,10019,5318,4701,12.5,56.0,54.1,58.0,50.1,48.1,52.1,10.8,9.6,11.8,4.5,4.1,4.8,2507,80.5,29167.23,3540,116,221,232,209,403,439,365,163,179,144,301,340,261
